year,record_scope,row_type,regime,level,entity_id,chgis_sys_id,state_id,state_name,prefecture_id,prefecture_name,county_id,county_name,administrative_name,map_label,is_fief,fief_id,fief_rank,holder_text,uncertain,qiao,longitude,latitude,map_drawn,geometry_status,unmapped_reason,chgis_source,book_page,pdf_page,source_title,source_url
588,yearbook_588,administrative_entity,南陳,county,ch_c0146,40228,ch_s0005,豐州,ch_p0027,建安郡,ch_c0146,建安,建安,建安,0,,,,0,0,118.32378400502766,27.03886399599987,1,seat,,CHGIS V6,1376,478,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0147,40243,ch_s0005,豐州,ch_p0027,建安郡,ch_c0147,吳興,吳興,吳興,0,,,,0,0,118.53625500541654,27.924685994951915,1,seat,,CHGIS V6,1377,479,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0148,40310,ch_s0005,豐州,ch_p0027,建安郡,ch_c0148,將樂,將樂,將樂,0,,,,0,0,117.45501700296327,26.720820998176574,1,seat,,CHGIS V6,1377,479,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0149,40237,ch_s0005,豐州,ch_p0027,建安郡,ch_c0149,建陽,建陽,建陽,0,,,,0,0,118.08625700452208,27.45958899661786,1,seat,,CHGIS V6,1377,479,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0150,40268,ch_s0005,豐州,ch_p0027,建安郡,ch_c0150,邵武,邵武,邵武,0,,,,0,0,117.4833980031015,27.337691998038252,1,seat,,CHGIS V6,1377,479,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0151,40275,ch_s0005,豐州,ch_p0027,建安郡,ch_c0151,綏城,綏城,綏城,0,,,,0,0,116.66783900152761,26.83066599916654,1,seat,,CHGIS V6,1377,479,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0152,40314,ch_s0005,豐州,ch_p0027,建安郡,ch_c0152,沙村,沙村,沙村,0,,,,0,0,117.82266300375312,26.39124199750807,1,seat,,CHGIS V6,1377,479,,
588,yearbook_588,administrative_entity,南陳,prefecture,ch_p0028,32078,ch_s0005,豐州,ch_p0028,南安郡,,,南安郡,南安郡,0,,,,0,0,118.53784900490622,24.953763995837587,1,seat,,CHGIS V6,1377,479,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0153,40255,ch_s0005,豐州,ch_p0028,南安郡,ch_c0153,晉安,晉安,晉安,0,,,,0,0,118.53784900490622,24.953763995837587,1,seat,,CHGIS V6,1377,479,,
588,yearbook_588,administrative_entity,南陳,county,ch_c0154,40327,ch_s0005,豐州,ch_p0028,南安郡,ch_c0154,龍溪,龍溪,龍溪,0,,,,0,0,117.67615500290233,24.46686499808547,1,seat,,CHGIS V6,1377,479,,
